team,players_used,avg_age,possession,games_played,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_attempted,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,league,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Auxerre,26,25.8,,38,418,3420,38.0,32,19,51,30,2,4,64,3.0,0.84,0.5,1.34,0.79,1.29,,616.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Bordeaux,22,27.1,,38,418,3420,38.0,64,31,95,58,6,8,75,5.0,1.68,0.82,2.5,1.53,2.34,,673.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Caen,27,26.6,,38,418,3420,38.0,46,23,69,41,5,6,64,2.0,1.21,0.61,1.82,1.08,1.68,,674.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Le Mans,27,23.5,,38,418,3420,38.0,46,25,71,43,3,4,67,6.0,1.21,0.66,1.87,1.13,1.79,,684.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lens,29,26.7,,38,418,3420,38.0,42,17,59,36,6,7,60,3.0,1.11,0.45,1.55,0.95,1.39,,590.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lille,32,24.7,,38,418,3420,38.0,44,22,66,38,6,6,65,4.0,1.16,0.58,1.74,1.0,1.58,,721.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lorient,24,27.1,,38,418,3420,38.0,31,17,48,28,3,4,39,0.0,0.82,0.45,1.26,0.74,1.18,,572.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Lyon,27,26.4,,38,418,3420,38.0,72,49,121,69,3,3,59,3.0,1.89,1.29,3.18,1.82,3.11,,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Marseille,31,24.9,,38,418,3420,38.0,58,33,91,57,1,2,58,3.0,1.53,0.87,2.39,1.5,2.37,,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Metz,38,25.7,,38,418,3420,38.0,27,14,41,24,3,3,82,4.0,0.71,0.37,1.08,0.63,1.0,,694.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Monaco,30,26.1,,38,418,3420,38.0,40,19,59,38,2,3,86,4.0,1.05,0.5,1.55,1.0,1.5,,767.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Nancy,21,26.0,,38,418,3420,38.0,43,26,69,40,3,3,68,4.0,1.13,0.68,1.82,1.05,1.74,,703.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Nice,25,27.3,,38,418,3420,38.0,34,21,55,30,4,7,72,2.0,0.89,0.55,1.45,0.79,1.34,,620.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Paris S-G,27,26.3,,38,418,3420,38.0,36,18,54,33,3,4,57,0.0,0.95,0.47,1.42,0.87,1.34,,569.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Rennes,29,26.5,,38,418,3420,38.0,45,27,72,45,0,1,60,2.0,1.18,0.71,1.89,1.18,1.89,,660.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Saint-Étienne,23,24.6,,38,418,3420,38.0,45,26,71,41,4,4,70,4.0,1.18,0.68,1.87,1.08,1.76,,671.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Sochaux,26,26.6,,38,418,3420,38.0,32,20,52,29,3,4,73,1.0,0.84,0.53,1.37,0.76,1.29,,679.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Strasbourg,27,26.9,,38,418,3420,38.0,33,20,53,31,2,2,61,5.0,0.87,0.53,1.39,0.82,1.34,,671.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Toulouse,26,26.0,,38,418,3420,38.0,35,18,53,34,1,1,78,6.0,0.92,0.47,1.39,0.89,1.37,,730.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Valenciennes,22,27.0,,38,418,3420,38.0,40,21,61,38,2,2,55,7.0,1.05,0.55,1.61,1.0,1.55,,669.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,,,,,,,,
Atalanta,27,26.5,57.3,38,418,3420,38.0,75,60,135,73,2,4,63,3.0,1.97,1.58,3.55,1.92,3.5,1.0,445.0,501.0,71.0,801.0,454.0,397.0,3.0,5.0,3.0,2018-2019,Serie-A,72.2,69.0,55.8,124.8,1104.0,1939.0,1.9,1.47,3.37,1.82,3.28,2247.0,628.0,551.0,53.3
Bologna,29,27.0,44.9,38,418,3420,38.0,45,35,80,40,5,5,94,6.0,1.18,0.92,2.11,1.05,1.97,3.0,516.0,519.0,83.0,737.0,372.0,430.0,2.0,4.0,1.0,2018-2019,Serie-A,46.8,42.9,30.8,73.7,675.0,1328.0,1.23,0.81,2.04,1.13,1.94,1877.0,748.0,716.0,51.1
Cagliari,30,27.9,49.8,38,418,3420,38.0,35,27,62,33,2,3,99,9.0,0.92,0.71,1.63,0.87,1.58,5.0,573.0,454.0,58.0,794.0,344.0,388.0,3.0,10.0,2.0,2018-2019,Serie-A,42.1,39.7,30.7,70.4,555.0,1288.0,1.11,0.81,1.91,1.05,1.85,1946.0,850.0,758.0,52.9
Chievo,36,28.3,43.3,38,418,3420,38.0,25,17,42,21,4,6,116,7.0,0.66,0.45,1.11,0.55,1.0,6.0,588.0,476.0,78.0,677.0,471.0,374.0,3.0,4.0,2.0,2018-2019,Serie-A,36.0,31.7,25.6,57.3,500.0,1229.0,0.95,0.67,1.62,0.83,1.51,1944.0,695.0,732.0,48.7
Empoli,29,26.4,47.9,38,418,3420,38.0,48,36,84,44,4,7,74,3.0,1.26,0.95,2.21,1.16,2.11,1.0,458.0,440.0,77.0,636.0,333.0,328.0,5.0,8.0,2.0,2018-2019,Serie-A,52.4,46.8,37.5,84.3,801.0,1567.0,1.38,0.99,2.36,1.23,2.22,1865.0,431.0,544.0,44.2
Fiorentina,27,24.1,50.4,38,418,3420,38.0,45,24,69,40,5,6,91,5.0,1.18,0.63,1.82,1.05,1.68,2.0,562.0,507.0,48.0,780.0,413.0,371.0,5.0,6.0,3.0,2018-2019,Serie-A,54.0,49.2,35.8,85.0,801.0,1544.0,1.42,0.94,2.36,1.3,2.24,1973.0,637.0,623.0,50.6
Frosinone,33,26.4,41.5,38,418,3420,38.0,28,21,49,24,4,5,99,2.0,0.74,0.55,1.29,0.63,1.18,0.0,560.0,536.0,73.0,815.0,384.0,353.0,5.0,5.0,1.0,2018-2019,Serie-A,38.9,35.1,27.1,62.2,520.0,1220.0,1.02,0.71,1.74,0.92,1.64,1873.0,621.0,715.0,46.5
Genoa,31,26.0,43.4,38,418,3420,38.0,37,26,63,33,4,5,96,7.0,0.97,0.68,1.66,0.87,1.55,2.0,559.0,481.0,65.0,797.0,424.0,424.0,4.0,6.0,2.0,2018-2019,Serie-A,46.9,43.0,32.5,75.5,690.0,1274.0,1.24,0.86,2.09,1.13,1.99,1981.0,758.0,749.0,50.3
Inter,23,27.7,59.4,38,418,3420,38.0,57,36,93,49,8,9,75,3.0,1.5,0.95,2.45,1.29,2.24,2.0,468.0,488.0,64.0,1092.0,311.0,409.0,5.0,5.0,3.0,2018-2019,Serie-A,63.8,56.8,45.4,102.3,954.0,1917.0,1.68,1.2,2.88,1.5,2.69,1995.0,519.0,589.0,46.8
Juventus,31,28.0,55.9,38,418,3420,38.0,66,44,110,59,7,8,78,4.0,1.74,1.16,2.89,1.55,2.71,2.0,471.0,469.0,75.0,867.0,396.0,355.0,5.0,4.0,1.0,2018-2019,Serie-A,60.7,54.5,42.5,97.1,926.0,1853.0,1.6,1.12,2.72,1.44,2.55,1946.0,534.0,469.0,53.2
Lazio,30,27.9,50.8,38,418,3420,38.0,54,35,89,48,6,6,90,4.0,1.42,0.92,2.34,1.26,2.18,1.0,502.0,391.0,97.0,738.0,432.0,406.0,3.0,6.0,3.0,2018-2019,Serie-A,60.4,55.8,44.4,100.2,912.0,1737.0,1.59,1.17,2.76,1.47,2.64,2112.0,612.0,539.0,53.2
Milan,23,24.8,54.1,38,418,3420,38.0,51,35,86,48,3,4,82,5.0,1.34,0.92,2.26,1.26,2.18,2.0,445.0,478.0,63.0,752.0,373.0,382.0,2.0,5.0,1.0,2018-2019,Serie-A,48.8,45.7,35.6,81.3,821.0,1759.0,1.28,0.94,2.22,1.2,2.14,1899.0,480.0,512.0,48.4
Napoli,26,27.0,59.1,38,418,3420,38.0,73,54,127,70,3,4,75,5.0,1.92,1.42,3.34,1.84,3.26,3.0,410.0,414.0,85.0,774.0,358.0,359.0,0.0,4.0,0.0,2018-2019,Serie-A,61.8,58.8,49.4,108.2,934.0,2089.0,1.63,1.3,2.93,1.55,2.85,2171.0,386.0,440.0,46.7
Parma,31,29.4,37.7,38,418,3420,38.0,40,22,62,36,4,5,84,3.0,1.05,0.58,1.63,0.95,1.53,2.0,493.0,433.0,91.0,511.0,399.0,351.0,5.0,8.0,5.0,2018-2019,Serie-A,40.2,36.3,26.9,63.1,487.0,990.0,1.06,0.71,1.77,0.95,1.66,1785.0,561.0,615.0,47.7
Roma,26,27.5,51.4,38,418,3420,38.0,65,41,106,59,6,6,90,2.0,1.71,1.08,2.79,1.55,2.63,2.0,461.0,395.0,50.0,855.0,419.0,344.0,5.0,7.0,1.0,2018-2019,Serie-A,64.4,59.6,46.2,105.8,838.0,1678.0,1.69,1.22,2.91,1.57,2.78,1954.0,727.0,547.0,57.1
Sampdoria,24,26.1,54.9,38,418,3420,38.0,60,41,101,50,10,12,92,3.0,1.58,1.08,2.66,1.32,2.39,3.0,493.0,510.0,70.0,641.0,364.0,425.0,7.0,8.0,1.0,2018-2019,Serie-A,50.5,41.8,34.1,75.9,630.0,1685.0,1.33,0.9,2.22,1.1,2.0,2030.0,471.0,522.0,47.4
Sassuolo,29,25.4,53.8,38,418,3420,38.0,50,33,83,45,5,5,90,8.0,1.32,0.87,2.18,1.18,2.05,3.0,528.0,528.0,73.0,660.0,378.0,328.0,4.0,8.0,2.0,2018-2019,Serie-A,48.5,44.6,34.1,78.8,721.0,1511.0,1.28,0.9,2.17,1.17,2.07,1864.0,464.0,510.0,47.6
SPAL,28,27.8,50.4,38,418,3420,38.0,44,30,74,37,7,8,113,3.0,1.16,0.79,1.95,0.97,1.76,1.0,499.0,550.0,37.0,863.0,388.0,374.0,7.0,5.0,0.0,2018-2019,Serie-A,43.9,37.7,28.2,65.8,910.0,1259.0,1.16,0.74,1.9,0.99,1.73,1772.0,569.0,577.0,49.7
Torino,25,27.6,51.1,38,418,3420,38.0,50,31,81,45,5,6,89,4.0,1.32,0.82,2.13,1.18,2.0,1.0,617.0,570.0,75.0,751.0,451.0,394.0,5.0,5.0,0.0,2018-2019,Serie-A,46.6,41.9,32.0,73.9,770.0,1407.0,1.23,0.84,2.07,1.1,1.94,2193.0,824.0,838.0,49.6
Udinese,31,25.3,42.6,38,418,3420,38.0,37,30,67,34,3,8,92,4.0,0.97,0.79,1.76,0.89,1.68,2.0,505.0,469.0,66.0,585.0,381.0,387.0,7.0,9.0,1.0,2018-2019,Serie-A,42.5,36.0,27.9,63.9,713.0,1088.0,1.12,0.73,1.85,0.95,1.68,1833.0,693.0,662.0,51.1
Arsenal,25,26.2,,38,417,3420,38.0,86,68,154,83,3,4,47,1.0,2.26,1.79,4.05,2.18,3.97,,441.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Aston Villa,22,25.7,,38,421,3420,38.0,43,34,77,40,3,6,57,2.0,1.13,0.89,2.03,1.05,1.95,,583.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Birmingham City,27,27.9,,38,417,3420,38.0,37,24,61,35,2,2,63,3.0,0.97,0.63,1.61,0.92,1.55,,492.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Blackburn,31,27.8,,38,414,3420,38.0,31,24,55,29,2,3,75,5.0,0.82,0.63,1.45,0.76,1.39,,554.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Bolton,25,28.6,,38,418,3420,38.0,49,33,82,44,5,6,54,2.0,1.29,0.87,2.16,1.16,2.03,,538.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Charlton Ath,22,28.0,,38,414,3420,38.0,41,28,69,41,0,0,39,4.0,1.08,0.74,1.82,1.08,1.82,,450.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Chelsea,30,25.2,,38,422,3420,38.0,71,58,129,66,5,6,51,0.0,1.87,1.53,3.39,1.74,3.26,,479.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Crystal Palace,27,25.7,,38,418,3420,38.0,43,26,69,33,10,12,59,3.0,1.13,0.68,1.82,0.87,1.55,,539.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Everton,22,28.5,,38,414,3420,38.0,45,34,79,43,2,3,57,4.0,1.18,0.89,2.08,1.13,2.03,,508.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Fulham,24,27.7,,38,418,3420,38.0,52,39,91,50,2,4,57,7.0,1.37,1.03,2.39,1.32,2.34,,477.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Liverpool,29,26.2,,38,414,3420,38.0,49,42,91,46,3,5,45,2.0,1.29,1.11,2.39,1.21,2.32,,430.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Manchester City,25,27.3,,38,418,3420,38.0,45,33,78,40,5,6,44,3.0,1.18,0.87,2.05,1.05,1.92,,475.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Manchester Utd,26,26.0,,38,416,3420,38.0,57,45,102,54,3,4,52,5.0,1.5,1.18,2.68,1.42,2.61,,477.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Middlesbrough,27,28.4,,38,418,3420,38.0,49,39,88,48,1,1,55,2.0,1.29,1.03,2.32,1.26,2.29,,474.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Newcastle Utd,27,25.9,,38,435,3420,38.0,44,32,76,41,3,3,60,5.0,1.16,0.84,2.0,1.08,1.92,,526.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Norwich City,25,27.6,,38,422,3420,38.0,41,29,70,38,3,4,35,2.0,1.08,0.76,1.84,1.0,1.76,,534.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Portsmouth,26,27.5,,38,386,3420,38.0,41,30,71,35,6,6,54,2.0,1.08,0.79,1.87,0.92,1.71,,393.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Southampton,35,28.4,,38,415,3420,38.0,44,30,74,41,3,3,45,2.0,1.16,0.79,1.95,1.08,1.87,,431.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Tottenham,31,24.8,,38,412,3420,38.0,47,32,79,46,1,1,58,1.0,1.24,0.84,2.08,1.21,2.05,,424.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
West Brom,27,27.1,,38,422,3420,38.0,34,25,59,32,2,3,44,5.0,0.89,0.66,1.55,0.84,1.5,,512.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,,,,,,,,
Augsburg,27,26.7,,34,374,3060,34.0,46,33,79,44,2,2,61,0.0,1.35,0.97,2.32,1.29,2.26,,494.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Bayern Munich,25,26.5,,34,374,3060,34.0,93,74,167,88,5,7,45,0.0,2.74,2.18,4.91,2.59,4.76,,392.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
BTSV,27,26.0,,34,374,3060,34.0,28,22,50,27,1,3,66,0.0,0.82,0.65,1.47,0.79,1.44,,535.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Dortmund,26,25.9,,34,374,3060,34.0,80,51,131,70,10,10,45,,2.35,1.5,3.85,2.06,3.56,,448.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Eint Frankfurt,27,25.6,,34,374,3060,34.0,38,28,66,37,1,2,79,0.0,1.12,0.82,1.94,1.09,1.91,,537.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Freiburg,30,23.9,,34,374,3060,34.0,42,31,73,41,1,2,66,0.0,1.24,0.91,2.15,1.21,2.12,,493.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Gladbach,21,25.6,,34,374,3060,34.0,57,38,95,51,6,8,56,0.0,1.68,1.12,2.79,1.5,2.62,,356.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Hamburger SV,28,25.0,,34,374,3060,34.0,50,31,81,47,3,3,58,0.0,1.47,0.91,2.38,1.38,2.29,,515.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Hannover 96,26,25.7,,34,374,3060,34.0,46,32,78,43,3,4,75,0.0,1.35,0.94,2.29,1.26,2.21,,560.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Hertha BSC,25,26.1,,34,374,3060,34.0,40,30,70,36,4,5,58,0.0,1.18,0.88,2.06,1.06,1.94,,538.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Hoffenheim,25,24.0,,34,374,3060,34.0,72,46,118,62,10,14,63,0.0,2.12,1.35,3.47,1.82,3.18,,639.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Leverkusen,24,25.4,,34,374,3060,34.0,58,43,101,56,2,2,70,0.0,1.71,1.26,2.97,1.65,2.91,,498.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Mainz 05,28,26.8,,34,374,3060,34.0,50,34,84,47,3,3,53,0.0,1.47,1.0,2.47,1.38,2.38,,472.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Nürnberg,27,25.9,,34,374,3060,34.0,37,27,64,35,2,3,76,0.0,1.09,0.79,1.88,1.03,1.82,,507.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Schalke 04,30,24.6,,34,374,3060,34.0,60,39,99,55,5,8,59,0.0,1.76,1.15,2.91,1.62,2.76,,525.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Stuttgart,27,24.8,,34,374,3060,34.0,48,37,85,46,2,5,62,0.0,1.41,1.09,2.5,1.35,2.44,,486.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Werder Bremen,27,25.8,,34,374,3060,34.0,39,28,67,37,2,3,77,0.0,1.15,0.82,1.97,1.09,1.91,,536.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Wolfsburg,26,25.9,,34,374,3060,34.0,62,38,100,58,4,5,64,0.0,1.82,1.12,2.94,1.71,2.82,,531.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,,,,,,,,
Augsburg,30,26.5,46.4,34,374,3060,34.0,50,33,83,45,5,5,55,1.0,1.47,0.97,2.44,1.32,2.29,0.0,458.0,349.0,85.0,603.0,467.0,376.0,2.0,2.0,2.0,2018-2019,Bundesliga,45.3,41.8,32.0,73.9,515.0,1158.0,1.33,0.94,2.28,1.23,2.17,1875.0,654.0,699.0,48.3
Bayern Munich,24,27.4,65.7,34,374,3060,34.0,86,62,148,83,3,4,44,2.0,2.53,1.82,4.35,2.44,4.26,2.0,312.0,342.0,88.0,777.0,336.0,294.0,4.0,6.0,1.0,2018-2019,Bundesliga,85.6,82.4,66.1,148.5,960.0,2192.0,2.52,1.94,4.46,2.42,4.37,1979.0,522.0,444.0,54.0
Dortmund,23,24.8,58.1,34,374,3060,34.0,80,60,140,76,4,4,40,3.0,2.35,1.76,4.12,2.24,4.0,0.0,292.0,385.0,66.0,458.0,384.0,319.0,3.0,5.0,0.0,2018-2019,Bundesliga,61.5,58.4,46.0,104.4,784.0,1637.0,1.81,1.35,3.16,1.72,3.07,1784.0,461.0,472.0,49.4
Düsseldorf,24,26.9,43.2,34,374,3060,34.0,48,35,83,43,5,7,67,1.0,1.41,1.03,2.44,1.26,2.29,0.0,432.0,404.0,49.0,544.0,419.0,384.0,3.0,7.0,0.0,2018-2019,Bundesliga,47.1,41.6,32.2,73.8,553.0,1202.0,1.39,0.95,2.33,1.22,2.17,1725.0,609.0,608.0,50.0
Eint Frankfurt,30,26.4,47.2,34,374,3060,34.0,60,42,102,56,4,4,60,3.0,1.76,1.24,3.0,1.65,2.88,2.0,420.0,346.0,81.0,678.0,360.0,371.0,1.0,1.0,1.0,2018-2019,Bundesliga,57.2,54.4,42.9,97.3,625.0,1247.0,1.68,1.26,2.95,1.6,2.86,2032.0,819.0,712.0,53.5
Freiburg,28,25.8,44.0,34,374,3060,34.0,44,25,69,39,5,6,57,3.0,1.29,0.74,2.03,1.15,1.88,3.0,412.0,408.0,51.0,528.0,374.0,357.0,4.0,7.0,0.0,2018-2019,Bundesliga,40.9,36.2,26.5,62.6,507.0,1064.0,1.2,0.78,1.98,1.06,1.84,1649.0,553.0,669.0,45.3
Gladbach,22,26.5,53.1,34,374,3060,34.0,53,43,96,49,4,7,43,0.0,1.56,1.26,2.82,1.44,2.71,0.0,333.0,357.0,70.0,565.0,310.0,292.0,5.0,3.0,0.0,2018-2019,Bundesliga,52.2,46.7,36.7,83.4,775.0,1532.0,1.54,1.08,2.62,1.37,2.45,1680.0,426.0,549.0,43.7
Hannover 96,32,26.3,46.3,34,374,3060,34.0,30,20,50,27,3,3,64,4.0,0.88,0.59,1.47,0.79,1.38,3.0,421.0,420.0,58.0,522.0,459.0,342.0,2.0,7.0,1.0,2018-2019,Bundesliga,37.2,34.9,27.2,62.0,572.0,1105.0,1.1,0.8,1.89,1.03,1.82,1788.0,617.0,716.0,46.3
Hertha BSC,26,25.9,47.9,34,374,3060,34.0,49,32,81,45,4,4,67,5.0,1.44,0.94,2.38,1.32,2.26,3.0,447.0,374.0,75.0,554.0,381.0,352.0,3.0,6.0,2.0,2018-2019,Bundesliga,51.0,48.0,36.8,84.8,562.0,1241.0,1.5,1.08,2.58,1.41,2.49,1746.0,693.0,640.0,52.0
Hoffenheim,29,25.5,53.8,34,374,3060,34.0,69,49,118,63,6,7,69,2.0,2.03,1.44,3.47,1.85,3.29,2.0,471.0,348.0,66.0,667.0,399.0,363.0,5.0,7.0,1.0,2018-2019,Bundesliga,75.9,70.5,56.8,127.3,950.0,1589.0,2.23,1.67,3.9,2.07,3.74,1847.0,521.0,531.0,49.5
Leverkusen,21,25.3,59.8,34,374,3060,34.0,68,51,119,64,4,5,50,1.0,2.0,1.5,3.5,1.88,3.38,0.0,367.0,383.0,65.0,633.0,358.0,368.0,3.0,6.0,3.0,2018-2019,Bundesliga,58.3,54.4,43.8,98.2,719.0,1791.0,1.71,1.29,3.0,1.6,2.89,2020.0,541.0,554.0,49.4
Mainz 05,28,24.2,46.1,34,374,3060,34.0,44,30,74,41,3,3,56,0.0,1.29,0.88,2.18,1.21,2.09,0.0,430.0,359.0,83.0,646.0,395.0,309.0,3.0,4.0,0.0,2018-2019,Bundesliga,51.2,48.8,37.5,86.3,624.0,1261.0,1.51,1.1,2.61,1.44,2.54,1843.0,658.0,627.0,51.2
Nürnberg,27,24.9,42.4,34,374,3060,34.0,25,16,41,23,2,6,59,4.0,0.74,0.47,1.21,0.68,1.15,1.0,394.0,381.0,53.0,495.0,354.0,350.0,5.0,4.0,2.0,2018-2019,Bundesliga,35.7,30.9,21.1,52.0,483.0,989.0,1.05,0.62,1.67,0.91,1.53,1646.0,621.0,669.0,48.1
RB Leipzig,23,24.0,49.6,34,374,3060,34.0,63,41,104,58,5,7,61,1.0,1.85,1.21,3.06,1.71,2.91,0.0,465.0,393.0,87.0,616.0,416.0,398.0,3.0,6.0,1.0,2018-2019,Bundesliga,65.7,60.2,46.0,106.2,733.0,1607.0,1.93,1.35,3.29,1.77,3.12,1998.0,743.0,603.0,55.2
Schalke 04,32,25.8,45.4,34,374,3060,34.0,37,23,60,30,7,9,73,5.0,1.09,0.68,1.76,0.88,1.56,1.0,454.0,397.0,79.0,521.0,419.0,381.0,7.0,6.0,1.0,2018-2019,Bundesliga,45.6,39.0,29.7,68.7,676.0,1148.0,1.34,0.87,2.21,1.15,2.02,1886.0,600.0,559.0,51.8
Stuttgart,26,26.3,45.9,34,374,3060,34.0,32,26,58,31,1,1,66,5.0,0.94,0.76,1.71,0.91,1.68,2.0,374.0,399.0,67.0,727.0,399.0,362.0,0.0,3.0,4.0,2018-2019,Bundesliga,38.0,37.3,28.2,65.5,506.0,1130.0,1.12,0.83,1.95,1.1,1.93,1720.0,723.0,691.0,51.1
Werder Bremen,24,27.1,52.1,34,374,3060,34.0,57,38,95,53,4,4,64,3.0,1.68,1.12,2.79,1.56,2.68,3.0,437.0,346.0,40.0,676.0,407.0,344.0,4.0,5.0,0.0,2018-2019,Bundesliga,49.8,46.7,33.7,80.3,635.0,1672.0,1.46,0.99,2.45,1.37,2.36,1825.0,605.0,662.0,47.8
Wolfsburg,25,25.4,53.3,34,374,3060,34.0,59,38,97,54,5,5,62,0.0,1.74,1.12,2.85,1.59,2.71,0.0,358.0,439.0,67.0,682.0,426.0,343.0,3.0,6.0,0.0,2018-2019,Bundesliga,47.6,43.8,33.0,76.9,618.0,1320.0,1.4,0.97,2.37,1.29,2.26,1813.0,610.0,573.0,51.6
Almería,24,25.6,,38,417,3420,38.0,40,21,61,38,2,3,105,7.0,1.05,0.55,1.61,1.0,1.55,,624.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
Athletic Club,29,25.2,,38,418,3420,38.0,48,24,72,43,5,10,101,10.0,1.26,0.63,1.89,1.13,1.76,,568.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
Atlético Madrid,33,26.0,,38,418,3420,38.0,56,27,83,53,3,5,96,7.0,1.47,0.71,2.18,1.39,2.11,,611.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
Barcelona,24,26.3,,38,418,3420,38.0,95,56,151,92,3,3,78,5.0,2.5,1.47,3.97,2.42,3.89,,511.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
Espanyol,28,25.0,,38,417,3420,38.0,29,15,44,29,0,0,123,8.0,0.76,0.39,1.16,0.76,1.16,,622.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
Getafe,24,26.4,,38,418,3420,38.0,57,29,86,51,6,6,113,4.0,1.5,0.76,2.26,1.34,2.11,,528.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
La Coruña,28,27.5,,38,418,3420,38.0,34,15,49,31,3,3,70,6.0,0.89,0.39,1.29,0.82,1.21,,486.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
Málaga,30,26.5,,38,418,3420,38.0,41,20,61,41,0,0,136,10.0,1.08,0.53,1.61,1.08,1.61,,684.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,,,,,,,,
