team,players_used,avg_age,possession,games_played,goals,assists,pens_made,pens_attempted,cards_yellow,cards_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,league,xg,npxg,xg_assist,progressive_carries,progressive_passes,ball_recoveries,aerials_won,aerials_lost
Auxerre,26,25.8,,38,32,19,2,4,64,3.0,616.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Bordeaux,22,27.1,,38,64,31,6,8,75,5.0,673.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Caen,27,26.6,,38,46,23,5,6,64,2.0,674.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Le Mans,27,23.5,,38,46,25,3,4,67,6.0,684.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lens,29,26.7,,38,42,17,6,7,60,3.0,590.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lille,32,24.7,,38,44,22,6,6,65,4.0,721.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lorient,24,27.1,,38,31,17,3,4,39,0.0,572.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Lyon,27,26.4,,38,72,49,3,3,59,3.0,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Marseille,31,24.9,,38,58,33,1,2,58,3.0,626.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Metz,38,25.7,,38,27,14,3,3,82,4.0,694.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Monaco,30,26.1,,38,40,19,2,3,86,4.0,767.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Nancy,21,26.0,,38,43,26,3,3,68,4.0,703.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Nice,25,27.3,,38,34,21,4,7,72,2.0,620.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Paris S-G,27,26.3,,38,36,18,3,4,57,0.0,569.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Rennes,29,26.5,,38,45,27,0,1,60,2.0,660.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Saint-Étienne,23,24.6,,38,45,26,4,4,70,4.0,671.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Sochaux,26,26.6,,38,32,20,3,4,73,1.0,679.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Strasbourg,27,26.9,,38,33,20,2,2,61,5.0,671.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Toulouse,26,26.0,,38,35,18,1,1,78,6.0,730.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Valenciennes,22,27.0,,38,40,21,2,2,55,7.0,669.0,,,,,,,,,2007-2008,Ligue-1,,,,,,,,
Atalanta,27,26.5,57.3,38,75,60,2,4,63,3.0,445.0,501.0,71.0,801.0,454.0,397.0,3.0,5.0,3.0,2018-2019,Serie-A,72.2,69.0,55.8,1104.0,1939.0,2247.0,628.0,551.0
Bologna,29,27.0,44.9,38,45,35,5,5,94,6.0,516.0,519.0,83.0,737.0,372.0,430.0,2.0,4.0,1.0,2018-2019,Serie-A,46.8,42.9,30.8,675.0,1328.0,1877.0,748.0,716.0
Cagliari,30,27.9,49.8,38,35,27,2,3,99,9.0,573.0,454.0,58.0,794.0,344.0,388.0,3.0,10.0,2.0,2018-2019,Serie-A,42.1,39.7,30.7,555.0,1288.0,1946.0,850.0,758.0
Chievo,36,28.3,43.3,38,25,17,4,6,116,7.0,588.0,476.0,78.0,677.0,471.0,374.0,3.0,4.0,2.0,2018-2019,Serie-A,36.0,31.7,25.6,500.0,1229.0,1944.0,695.0,732.0
Empoli,29,26.4,47.9,38,48,36,4,7,74,3.0,458.0,440.0,77.0,636.0,333.0,328.0,5.0,8.0,2.0,2018-2019,Serie-A,52.4,46.8,37.5,801.0,1567.0,1865.0,431.0,544.0
Fiorentina,27,24.1,50.4,38,45,24,5,6,91,5.0,562.0,507.0,48.0,780.0,413.0,371.0,5.0,6.0,3.0,2018-2019,Serie-A,54.0,49.2,35.8,801.0,1544.0,1973.0,637.0,623.0
Frosinone,33,26.4,41.5,38,28,21,4,5,99,2.0,560.0,536.0,73.0,815.0,384.0,353.0,5.0,5.0,1.0,2018-2019,Serie-A,38.9,35.1,27.1,520.0,1220.0,1873.0,621.0,715.0
Genoa,31,26.0,43.4,38,37,26,4,5,96,7.0,559.0,481.0,65.0,797.0,424.0,424.0,4.0,6.0,2.0,2018-2019,Serie-A,46.9,43.0,32.5,690.0,1274.0,1981.0,758.0,749.0
Inter,23,27.7,59.4,38,57,36,8,9,75,3.0,468.0,488.0,64.0,1092.0,311.0,409.0,5.0,5.0,3.0,2018-2019,Serie-A,63.8,56.8,45.4,954.0,1917.0,1995.0,519.0,589.0
Juventus,31,28.0,55.9,38,66,44,7,8,78,4.0,471.0,469.0,75.0,867.0,396.0,355.0,5.0,4.0,1.0,2018-2019,Serie-A,60.7,54.5,42.5,926.0,1853.0,1946.0,534.0,469.0
Lazio,30,27.9,50.8,38,54,35,6,6,90,4.0,502.0,391.0,97.0,738.0,432.0,406.0,3.0,6.0,3.0,2018-2019,Serie-A,60.4,55.8,44.4,912.0,1737.0,2112.0,612.0,539.0
Milan,23,24.8,54.1,38,51,35,3,4,82,5.0,445.0,478.0,63.0,752.0,373.0,382.0,2.0,5.0,1.0,2018-2019,Serie-A,48.8,45.7,35.6,821.0,1759.0,1899.0,480.0,512.0
Napoli,26,27.0,59.1,38,73,54,3,4,75,5.0,410.0,414.0,85.0,774.0,358.0,359.0,0.0,4.0,0.0,2018-2019,Serie-A,61.8,58.8,49.4,934.0,2089.0,2171.0,386.0,440.0
Parma,31,29.4,37.7,38,40,22,4,5,84,3.0,493.0,433.0,91.0,511.0,399.0,351.0,5.0,8.0,5.0,2018-2019,Serie-A,40.2,36.3,26.9,487.0,990.0,1785.0,561.0,615.0
Roma,26,27.5,51.4,38,65,41,6,6,90,2.0,461.0,395.0,50.0,855.0,419.0,344.0,5.0,7.0,1.0,2018-2019,Serie-A,64.4,59.6,46.2,838.0,1678.0,1954.0,727.0,547.0
Sampdoria,24,26.1,54.9,38,60,41,10,12,92,3.0,493.0,510.0,70.0,641.0,364.0,425.0,7.0,8.0,1.0,2018-2019,Serie-A,50.5,41.8,34.1,630.0,1685.0,2030.0,471.0,522.0
Sassuolo,29,25.4,53.8,38,50,33,5,5,90,8.0,528.0,528.0,73.0,660.0,378.0,328.0,4.0,8.0,2.0,2018-2019,Serie-A,48.5,44.6,34.1,721.0,1511.0,1864.0,464.0,510.0
SPAL,28,27.8,50.4,38,44,30,7,8,113,3.0,499.0,550.0,37.0,863.0,388.0,374.0,7.0,5.0,0.0,2018-2019,Serie-A,43.9,37.7,28.2,910.0,1259.0,1772.0,569.0,577.0
Torino,25,27.6,51.1,38,50,31,5,6,89,4.0,617.0,570.0,75.0,751.0,451.0,394.0,5.0,5.0,0.0,2018-2019,Serie-A,46.6,41.9,32.0,770.0,1407.0,2193.0,824.0,838.0
Udinese,31,25.3,42.6,38,37,30,3,8,92,4.0,505.0,469.0,66.0,585.0,381.0,387.0,7.0,9.0,1.0,2018-2019,Serie-A,42.5,36.0,27.9,713.0,1088.0,1833.0,693.0,662.0
Arsenal,25,26.2,,38,86,68,3,4,47,1.0,441.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Aston Villa,22,25.7,,38,43,34,3,6,57,2.0,583.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Birmingham City,27,27.9,,38,37,24,2,2,63,3.0,492.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Blackburn,31,27.8,,38,31,24,2,3,75,5.0,554.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Bolton,25,28.6,,38,49,33,5,6,54,2.0,538.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Charlton Ath,22,28.0,,38,41,28,0,0,39,4.0,450.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Chelsea,30,25.2,,38,71,58,5,6,51,0.0,479.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Crystal Palace,27,25.7,,38,43,26,10,12,59,3.0,539.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Everton,22,28.5,,38,45,34,2,3,57,4.0,508.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Fulham,24,27.7,,38,52,39,2,4,57,7.0,477.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Liverpool,29,26.2,,38,49,42,3,5,45,2.0,430.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Manchester City,25,27.3,,38,45,33,5,6,44,3.0,475.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Manchester Utd,26,26.0,,38,57,45,3,4,52,5.0,477.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Middlesbrough,27,28.4,,38,49,39,1,1,55,2.0,474.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Newcastle Utd,27,25.9,,38,44,32,3,3,60,5.0,526.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Norwich City,25,27.6,,38,41,29,3,4,35,2.0,534.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Portsmouth,26,27.5,,38,41,30,6,6,54,2.0,393.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Southampton,35,28.4,,38,44,30,3,3,45,2.0,431.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Tottenham,31,24.8,,38,47,32,1,1,58,1.0,424.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
West Brom,27,27.1,,38,34,25,2,3,44,5.0,512.0,,,,,,,,,2004-2005,Premier-League,,,,,,,,
Augsburg,27,26.7,,34,46,33,2,2,61,0.0,494.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Bayern Munich,25,26.5,,34,93,74,5,7,45,0.0,392.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
BTSV,27,26.0,,34,28,22,1,3,66,0.0,535.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Dortmund,26,25.9,,34,80,51,10,10,45,,448.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Eint Frankfurt,27,25.6,,34,38,28,1,2,79,0.0,537.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Freiburg,30,23.9,,34,42,31,1,2,66,0.0,493.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Gladbach,21,25.6,,34,57,38,6,8,56,0.0,356.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Hamburger SV,28,25.0,,34,50,31,3,3,58,0.0,515.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Hannover 96,26,25.7,,34,46,32,3,4,75,0.0,560.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Hertha BSC,25,26.1,,34,40,30,4,5,58,0.0,538.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Hoffenheim,25,24.0,,34,72,46,10,14,63,0.0,639.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Leverkusen,24,25.4,,34,58,43,2,2,70,0.0,498.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Mainz 05,28,26.8,,34,50,34,3,3,53,0.0,472.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Nürnberg,27,25.9,,34,37,27,2,3,76,0.0,507.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Schalke 04,30,24.6,,34,60,39,5,8,59,0.0,525.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Stuttgart,27,24.8,,34,48,37,2,5,62,0.0,486.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Werder Bremen,27,25.8,,34,39,28,2,3,77,0.0,536.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Wolfsburg,26,25.9,,34,62,38,4,5,64,0.0,531.0,,,,,,,,,2013-2014,Bundesliga,,,,,,,,
Augsburg,30,26.5,46.4,34,50,33,5,5,55,1.0,458.0,349.0,85.0,603.0,467.0,376.0,2.0,2.0,2.0,2018-2019,Bundesliga,45.3,41.8,32.0,515.0,1158.0,1875.0,654.0,699.0
Bayern Munich,24,27.4,65.7,34,86,62,3,4,44,2.0,312.0,342.0,88.0,777.0,336.0,294.0,4.0,6.0,1.0,2018-2019,Bundesliga,85.6,82.4,66.1,960.0,2192.0,1979.0,522.0,444.0
Dortmund,23,24.8,58.1,34,80,60,4,4,40,3.0,292.0,385.0,66.0,458.0,384.0,319.0,3.0,5.0,0.0,2018-2019,Bundesliga,61.5,58.4,46.0,784.0,1637.0,1784.0,461.0,472.0
Düsseldorf,24,26.9,43.2,34,48,35,5,7,67,1.0,432.0,404.0,49.0,544.0,419.0,384.0,3.0,7.0,0.0,2018-2019,Bundesliga,47.1,41.6,32.2,553.0,1202.0,1725.0,609.0,608.0
Eint Frankfurt,30,26.4,47.2,34,60,42,4,4,60,3.0,420.0,346.0,81.0,678.0,360.0,371.0,1.0,1.0,1.0,2018-2019,Bundesliga,57.2,54.4,42.9,625.0,1247.0,2032.0,819.0,712.0
Freiburg,28,25.8,44.0,34,44,25,5,6,57,3.0,412.0,408.0,51.0,528.0,374.0,357.0,4.0,7.0,0.0,2018-2019,Bundesliga,40.9,36.2,26.5,507.0,1064.0,1649.0,553.0,669.0
Gladbach,22,26.5,53.1,34,53,43,4,7,43,0.0,333.0,357.0,70.0,565.0,310.0,292.0,5.0,3.0,0.0,2018-2019,Bundesliga,52.2,46.7,36.7,775.0,1532.0,1680.0,426.0,549.0
Hannover 96,32,26.3,46.3,34,30,20,3,3,64,4.0,421.0,420.0,58.0,522.0,459.0,342.0,2.0,7.0,1.0,2018-2019,Bundesliga,37.2,34.9,27.2,572.0,1105.0,1788.0,617.0,716.0
Hertha BSC,26,25.9,47.9,34,49,32,4,4,67,5.0,447.0,374.0,75.0,554.0,381.0,352.0,3.0,6.0,2.0,2018-2019,Bundesliga,51.0,48.0,36.8,562.0,1241.0,1746.0,693.0,640.0
Hoffenheim,29,25.5,53.8,34,69,49,6,7,69,2.0,471.0,348.0,66.0,667.0,399.0,363.0,5.0,7.0,1.0,2018-2019,Bundesliga,75.9,70.5,56.8,950.0,1589.0,1847.0,521.0,531.0
Leverkusen,21,25.3,59.8,34,68,51,4,5,50,1.0,367.0,383.0,65.0,633.0,358.0,368.0,3.0,6.0,3.0,2018-2019,Bundesliga,58.3,54.4,43.8,719.0,1791.0,2020.0,541.0,554.0
Mainz 05,28,24.2,46.1,34,44,30,3,3,56,0.0,430.0,359.0,83.0,646.0,395.0,309.0,3.0,4.0,0.0,2018-2019,Bundesliga,51.2,48.8,37.5,624.0,1261.0,1843.0,658.0,627.0
Nürnberg,27,24.9,42.4,34,25,16,2,6,59,4.0,394.0,381.0,53.0,495.0,354.0,350.0,5.0,4.0,2.0,2018-2019,Bundesliga,35.7,30.9,21.1,483.0,989.0,1646.0,621.0,669.0
RB Leipzig,23,24.0,49.6,34,63,41,5,7,61,1.0,465.0,393.0,87.0,616.0,416.0,398.0,3.0,6.0,1.0,2018-2019,Bundesliga,65.7,60.2,46.0,733.0,1607.0,1998.0,743.0,603.0
Schalke 04,32,25.8,45.4,34,37,23,7,9,73,5.0,454.0,397.0,79.0,521.0,419.0,381.0,7.0,6.0,1.0,2018-2019,Bundesliga,45.6,39.0,29.7,676.0,1148.0,1886.0,600.0,559.0
Stuttgart,26,26.3,45.9,34,32,26,1,1,66,5.0,374.0,399.0,67.0,727.0,399.0,362.0,0.0,3.0,4.0,2018-2019,Bundesliga,38.0,37.3,28.2,506.0,1130.0,1720.0,723.0,691.0
Werder Bremen,24,27.1,52.1,34,57,38,4,4,64,3.0,437.0,346.0,40.0,676.0,407.0,344.0,4.0,5.0,0.0,2018-2019,Bundesliga,49.8,46.7,33.7,635.0,1672.0,1825.0,605.0,662.0
Wolfsburg,25,25.4,53.3,34,59,38,5,5,62,0.0,358.0,439.0,67.0,682.0,426.0,343.0,3.0,6.0,0.0,2018-2019,Bundesliga,47.6,43.8,33.0,618.0,1320.0,1813.0,610.0,573.0
Almería,24,25.6,,38,40,21,2,3,105,7.0,624.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Athletic Club,29,25.2,,38,48,24,5,10,101,10.0,568.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Atlético Madrid,33,26.0,,38,56,27,3,5,96,7.0,611.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Barcelona,24,26.3,,38,95,56,3,3,78,5.0,511.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Espanyol,28,25.0,,38,29,15,0,0,123,8.0,622.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Getafe,24,26.4,,38,57,29,6,6,113,4.0,528.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
La Coruña,28,27.5,,38,34,15,3,3,70,6.0,486.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Málaga,30,26.5,,38,41,20,0,0,136,10.0,684.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Mallorca,24,27.7,,38,57,29,4,6,99,4.0,660.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Osasuna,25,28.2,,38,36,20,2,3,87,9.0,617.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Racing Sant,29,26.6,,38,42,23,4,4,110,7.0,720.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Real Madrid,25,25.1,,38,102,53,7,8,91,5.0,586.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Sevilla,31,27.4,,38,63,30,5,5,107,10.0,599.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Sporting Gijón,28,26.5,,38,35,18,4,6,103,6.0,590.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Tenerife,22,27.2,,38,39,17,2,4,93,4.0,613.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Valencia,27,26.9,,38,59,32,3,3,116,8.0,630.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Valladolid,31,26.4,,38,35,17,2,2,107,11.0,630.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Villarreal,25,27.5,,38,58,28,0,0,103,11.0,532.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Xerez,24,26.3,,38,38,21,2,3,110,14.0,576.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Zaragoza,33,27.1,,38,45,19,4,5,131,6.0,680.0,,,,,,,,,2009-2010,La-Liga,,,,,,,,
Almería,23,25.6,,38,41,19,4,7,121,8.0,753.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Athletic Club,30,25.7,,38,39,18,2,4,126,7.0,694.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Atlético Madrid,25,26.2,,38,65,30,3,4,123,7.0,661.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Barcelona,28,26.8,,38,76,43,6,6,85,5.0,556.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Betis,29,26.3,,38,43,23,4,5,102,4.0,739.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Espanyol,26,24.9,,38,41,26,6,7,117,4.0,738.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Getafe,28,26.9,,38,42,23,4,6,95,9.0,577.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
La Coruña,31,25.9,,38,44,21,7,8,80,5.0,584.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Levante,29,27.9,,38,33,19,3,5,99,2.0,627.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Mallorca,25,27.3,,38,69,40,4,4,92,10.0,623.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Osasuna,29,25.8,,38,36,20,2,3,118,10.0,674.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Racing Sant,27,27.4,,38,42,23,2,5,94,8.0,617.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Real Madrid,25,25.9,,38,83,50,6,6,99,6.0,622.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Real Murcia,29,27.7,,38,35,20,6,6,120,6.0,737.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Recreativo,25,26.6,,38,39,19,0,1,127,11.0,756.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Sevilla,31,26.2,,38,71,38,4,6,104,9.0,659.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Valencia,29,26.3,,38,46,23,3,3,100,8.0,692.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Valladolid,27,27.8,,38,42,19,3,4,87,7.0,665.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Villarreal,24,27.3,,38,62,34,10,11,88,3.0,579.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Zaragoza,26,28.0,,38,47,24,5,6,119,8.0,680.0,,,,,,,,,2007-2008,La-Liga,,,,,,,,
Augsburg,29,26.0,43.9,34,49,35,5,7,71,3.0,454.0,338.0,81.0,631.0,295.0,319.0,5.0,10.0,2.0,2023-2024,Bundesliga,46.1,40.7,27.7,462.0,1137.0,1669.0,587.0,602.0
Bayern Munich,30,27.4,61.3,34,93,71,5,5,47,2.0,304.0,306.0,60.0,655.0,288.0,323.0,2.0,4.0,0.0,2023-2024,Bundesliga,85.2,81.3,65.9,944.0,1941.0,1768.0,410.0,319.0
Bochum,25,29.1,46.6,34,41,30,4,4,97,2.0,446.0,409.0,83.0,649.0,308.0,366.0,4.0,11.0,4.0,2023-2024,Bundesliga,44.5,41.4,30.4,400.0,1151.0,1808.0,815.0,816.0
Darmstadt 98,32,27.1,45.7,34,28,21,3,3,83,4.0,429.0,351.0,57.0,514.0,317.0,323.0,2.0,2.0,2.0,2023-2024,Bundesliga,32.3,30.0,22.8,437.0,1083.0,1502.0,510.0,569.0
Dortmund,32,26.8,57.8,34,68,49,6,6,59,4.0,315.0,391.0,44.0,522.0,251.0,356.0,5.0,6.0,2.0,2023-2024,Bundesliga,63.5,58.8,45.6,770.0,1452.0,1763.0,389.0,426.0
Eint Frankfurt,34,25.3,52.1,34,48,36,2,3,70,5.0,355.0,318.0,51.0,557.0,302.0,359.0,2.0,11.0,0.0,2023-2024,Bundesliga,46.2,44.4,34.1,574.0,1305.0,1792.0,477.0,525.0
Freiburg,25,27.0,46.6,34,43,32,7,9,64,4.0,364.0,376.0,52.0,593.0,272.0,319.0,7.0,5.0,1.0,2023-2024,Bundesliga,49.4,42.4,32.4,468.0,1208.0,1633.0,625.0,628.0
Gladbach,27,25.4,46.8,34,55,43,5,6,66,2.0,337.0,372.0,53.0,574.0,333.0,337.0,4.0,6.0,0.0,2023-2024,Bundesliga,46.5,41.8,35.5,598.0,1227.0,1701.0,485.0,478.0
Heidenheim,22,26.7,42.5,34,46,34,2,3,54,1.0,442.0,325.0,38.0,663.0,302.0,352.0,1.0,10.0,3.0,2023-2024,Bundesliga,39.4,37.0,27.5,510.0,983.0,1741.0,690.0,612.0
Hoffenheim,30,27.7,49.5,34,65,47,6,6,86,5.0,339.0,366.0,52.0,603.0,357.0,304.0,5.0,5.0,1.0,2023-2024,Bundesliga,53.6,49.0,39.9,538.0,1359.0,1715.0,515.0,515.0
Köln,26,25.4,46.5,34,28,17,5,6,71,4.0,418.0,364.0,53.0,779.0,305.0,375.0,5.0,3.0,0.0,2023-2024,Bundesliga,39.3,34.7,27.2,618.0,1086.0,1689.0,557.0,533.0
Leverkusen,24,26.2,61.8,34,87,71,8,8,59,0.0,305.0,342.0,73.0,586.0,224.0,277.0,7.0,0.0,0.0,2023-2024,Bundesliga,73.6,67.6,55.2,888.0,1997.0,1847.0,363.0,316.0
Mainz 05,30,26.7,46.1,34,38,31,1,5,99,3.0,473.0,410.0,59.0,633.0,346.0,328.0,4.0,4.0,1.0,2023-2024,Bundesliga,44.6,40.7,32.0,480.0,1169.0,1786.0,665.0,761.0
RB Leipzig,26,25.6,55.3,34,74,53,4,7,61,1.0,354.0,388.0,67.0,608.0,240.0,317.0,7.0,5.0,1.0,2023-2024,Bundesliga,65.6,60.2,47.7,714.0,1541.0,1743.0,426.0,394.0
Stuttgart,27,25.0,59.9,34,78,60,5,8,56,1.0,329.0,373.0,50.0,537.0,269.0,316.0,7.0,3.0,3.0,2023-2024,Bundesliga,70.9,64.6,53.3,693.0,1618.0,1754.0,430.0,429.0
Union Berlin,30,28.1,42.9,34,33,23,3,6,67,7.0,402.0,339.0,61.0,662.0,305.0,352.0,3.0,7.0,1.0,2023-2024,Bundesliga,40.1,35.3,25.0,389.0,1146.0,1705.0,620.0,619.0
Werder Bremen,30,27.0,46.8,34,45,33,5,6,73,2.0,396.0,396.0,70.0,543.0,284.0,351.0,5.0,6.0,1.0,2023-2024,Bundesliga,46.9,42.0,35.6,492.0,1172.0,1758.0,508.0,575.0
Wolfsburg,28,25.6,48.0,34,41,27,2,3,86,5.0,415.0,412.0,41.0,593.0,268.0,303.0,3.0,3.0,3.0,2023-2024,Bundesliga,39.2,36.7,28.5,441.0,1235.0,1580.0,512.0,467.0
Auxerre,24,27.1,,38,41,21,2,2,56,2.0,521.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Bordeaux,24,26.3,,38,53,31,5,7,65,6.0,575.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Boulogne,33,26.3,,38,29,18,2,3,79,6.0,592.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Grenoble,32,29.0,,38,30,14,0,2,68,7.0,559.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Le Mans,33,24.4,,38,35,18,1,2,90,8.0,667.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Lens,23,27.1,,38,39,20,5,5,61,2.0,656.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Lille,23,25.1,,38,70,32,10,13,72,4.0,637.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Lorient,24,26.6,,38,53,27,4,4,57,4.0,511.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Lyon,28,25.7,,38,62,33,3,3,66,3.0,630.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Marseille,23,27.7,,38,67,39,6,6,63,2.0,600.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Monaco,28,25.0,,38,36,19,3,4,91,4.0,677.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Montpellier,23,25.9,,38,49,24,6,8,85,6.0,726.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Nancy,26,26.0,,38,45,26,4,5,65,6.0,581.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Nice,26,25.4,,38,39,21,2,2,74,5.0,655.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Paris S-G,22,27.4,,38,48,26,3,4,57,2.0,601.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Rennes,24,26.2,,38,51,29,6,6,50,5.0,568.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Saint-Étienne,28,24.8,,38,27,19,1,2,64,4.0,587.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Sochaux,28,25.4,,38,27,13,2,3,58,4.0,573.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Toulouse,30,24.0,,38,36,14,0,0,74,5.0,711.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Valenciennes,27,26.5,,38,50,29,2,3,74,3.0,707.0,,,,,,,,,2009-2010,Ligue-1,,,,,,,,
Arsenal,26,25.6,,38,69,54,5,6,46,4.0,374.0,,,,,,,,,2012-2013,Premier-League,,,,,,,,
Aston Villa,28,24.1,,38,47,34,3,3,75,3.0,457.0,,,,,,,,,2012-2013,Premier-League,,,,,,,,
